,Feature,Importance
0,Num Pipeline__BMI,11.167251040792447
1,Num Pipeline__Age,10.670946034954357
2,Num Pipeline__Fasting Blood Sugar,9.547444723739368
3,Num Pipeline__CRP Level,8.484101217628188
4,Num Pipeline__Blood Pressure,8.313882549437777
5,Num Pipeline__Sleep Hours,8.218541313304122
6,Num Pipeline__Homocysteine Level,6.936985867223898
7,Num Pipeline__Cholesterol Level,6.917158850327838
8,Num Pipeline__Triglyceride Level,6.6129162320215755
9,Cat Pipeline__Stress Level_Low,4.723782041540713
10,Cat Pipeline__Stress Level_Medium,3.682596692491665
11,Cat Pipeline__Gender_Male,2.326050675685062
12,Cat Pipeline__Sugar Consumption_Medium,2.265631351633871
13,Cat Pipeline__Diabetes_Yes,1.621508600239527
14,Cat Pipeline__Exercise Habits_Medium,1.344277882446289
15,Cat Pipeline__Exercise Habits_Low,1.0417753905039613
16,Cat Pipeline__Alcohol Consumption_never,0.969335403112783
17,Cat Pipeline__Family Heart Disease_Yes,0.9083850026185113
18,Cat Pipeline__Sugar Consumption_Low,0.7676502519041785
19,Cat Pipeline__Smoking_Yes,0.7620621545387094
20,Cat Pipeline__High LDL Cholesterol_Yes,0.6229606416651073
21,Cat Pipeline__High Blood Pressure_Yes,0.5955561453663005
22,Cat Pipeline__Low HDL Cholesterol_Yes,0.5670457012302862
23,Cat Pipeline__Alcohol Consumption_Low,0.5069164013728089
24,Cat Pipeline__Alcohol Consumption_Medium,0.4252378342207003
